32386,Austria,Kuwait,Pandur IFV -,infantry fighting vehicle,Armoured vehicles,1996,No,15,Yes,1998,No,New,0.3,0.3,4.5,No;
32386,Austria,Kuwait,Pandur IFV -,infantry fighting vehicle,Armoured vehicles,1996,No,15,Yes,1999,No,New,0.3,0.3,4.5,No;
64172,Austria,France,Camcopter S-100,UAV,Aircraft,2019,Yes,4,No,2020,No,New,0.2,0.2,0.8,No;
56957,Austria,France,Camcopter S-100,UAV,Aircraft,2011,Yes,1,No,2012,No,New,0.2,0.2,0.2,No;
61684,Austria,France,Camcopter S-100,UAV,Aircraft,2018,No,1,No,2018,No,New,0.2,0.2,0.2,No;
34560,Austria,France,A-340,transport aircraft,Aircraft,2005,No,1,No,2006,No,Second hand,135,54,54,No;
34560,Austria,France,A-340,transport aircraft,Aircraft,2005,No,1,Yes,2007,Yes,Second hand,135,54,54,No;
57811,Austria,Kuwait,Pandur,armoured personnel carrier,Armoured vehicles,2010,No,12,Yes,2013,No,New,0.3,0.3,3.6,No;
57811,Austria,Kuwait,Pandur,armoured personnel carrier,Armoured vehicles,2010,No,12,Yes,2014,No,New,0.3,0.3,3.6,No;
57838,Austria,Venezuela,DA-42,light aircraft,Aircraft,2014,No,2,No,2014,No,New,0.35,0.35,0.7,No;
57838,Austria,Venezuela,DA-42,light aircraft,Aircraft,2014,No,4,No,2015,No,New,0.35,0.35,1.4,No;
54002,Austria,Jamaica,DA-42,light aircraft,Aircraft,2011,Yes,2,No,2013,No,New,0.35,0.35,0.7,No;
58109,Austria,OSCE**,Camcopter S-100,UAV,Aircraft,2014,No,3,Yes,2014,No,New,0.2,0.2,0.6,No;
58109,Austria,OSCE**,Camcopter S-100,UAV,Aircraft,2014,No,3,Yes,2015,Yes,New,0.2,0.2,0.6,No;
63066,Austria,Thailand,Camcopter S-100,UAV,Aircraft,2019,No,3,Yes,2020,No,New,0.2,0.2,0.6,No;
63066,Austria,Thailand,Camcopter S-100,UAV,Aircraft,2019,No,3,Yes,2021,No,New,0.2,0.2,0.6,No;
61353,Austria,Tunisia,Camcopter S-100,UAV,Aircraft,2017,No,2,Yes,2018,Yes,New,0.2,0.2,0.4,No;
51097,Austria,Niger,DA-42MPP,reconnaissance aircraft,Aircraft,2008,Yes,2,No,2008,No,New,0.5,0.5,1,No;
63406,Austria,Thailand,DA-40,light aircraft,Aircraft,2019,No,8,No,2020,No,New,0.15,0.15,1.2,No;
50856,Austria,Thailand,DA-42,light aircraft,Aircraft,2008,No,6,No,2009,No,New,0.35,0.35,2.1,No;
63968,Austria,Thailand,DA-42MPP,reconnaissance aircraft,Aircraft,2018,Yes,3,Yes,2020,No,New,0.5,0.5,1.5,No;
64270,Austria,Thailand,DA-42,light aircraft,Aircraft,2009,Yes,6,No,2010,No,New,0.35,0.35,2.1,No;
54122,Austria,Kuwait,Pandur IFV -,infantry fighting vehicle,Armoured vehicles,2010,No,30,Yes,2013,No,New,0.3,0.3,9,No;
54122,Austria,Kuwait,Pandur IFV -,infantry fighting vehicle,Armoured vehicles,2010,No,26,Yes,2014,No,New,0.3,0.3,7.8,No;
56572,Austria,United Kingdom,DA-42,light aircraft,Aircraft,2008,No,2,No,2008,No,New,0.35,0.35,0.7,No;
53927,Austria,United States,DA-40,light aircraft,Aircraft,2009,Yes,20,No,2009,No,New,0.15,0.15,3,No;
61619,Austria,Jamaica,DA-40,light aircraft,Aircraft,2017,No,4,Yes,2018,Yes,New,0.15,0.15,0.6,No;
53483,Austria,South Korea,Camcopter S-100,UAV,Aircraft,2011,No,3,Yes,2012,Yes,New,0.2,0.2,0.6,No;
62439,Austria,Uganda,DA-42,light aircraft,Aircraft,2017,Yes,1,No,2018,No,New,0.35,0.35,0.35,No;
62594,Austria,Indonesia,Pandur-2 IFV --,infantry fighting vehicle,Armoured vehicles,2019,No,23,No,2024,,New,0.65,0.65,14.95,No;
52254,Austria,Portugal,Pandur-2 IFV -,infantry fighting vehicle,Armoured vehicles,2005,No,6,Yes,2009,Yes,New,1.25,1.25,7.5,Yes;
52254,Austria,Portugal,Pandur-2 IFV -,infantry fighting vehicle,Armoured vehicles,2005,No,8,Yes,2010,No,New,1.25,1.25,10,Yes;
52254,Austria,Portugal,Pandur-2 IFV -,infantry fighting vehicle,Armoured vehicles,2005,No,8,Yes,2011,No,New,1.25,1.25,10,Yes;
52254,Austria,Portugal,Pandur-2 IFV -,infantry fighting vehicle,Armoured vehicles,2005,No,8,No,2016,No,New,1.25,1.25,10,Yes;
58223,Austria,Saudi Arabia,MMV,armoured personnel carrier,Armoured vehicles,2014,No,25,Yes,2015,Yes,New,0.14,0.14,3.5,Yes;
58223,Austria,Saudi Arabia,MMV,armoured personnel carrier,Armoured vehicles,2014,No,25,Yes,2016,Yes,New,0.14,0.14,3.5,Yes;
64173,Austria,Malaysia,Camcopter S-100,UAV,Aircraft,2018,Yes,2,Yes,2018,Yes,New,0.2,0.2,0.4,No;
60693,Austria,Burkina Faso,DA-42MPP,reconnaissance aircraft,Aircraft,2015,Yes,1,Yes,2016,Yes,New,0.5,0.5,0.5,No;
62819,Austria,Australia,DA-40,light aircraft,Aircraft,2018,No,8,No,2019,No,New,0.15,0.15,1.2,No;
61593,Austria,Indonesia,Pandur-2 FSV -,fire-support vehicle,Armoured vehicles,2016,No,1,Yes,2017,Yes,New,0.45,0.45,0.45,No;
61225,Austria,Indonesia,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2016,No,3,Yes,2017,Yes,New,0.3,0.3,0.9,No;
